ID_Recinto Hora dia Mes Presión_saturacion x_set_min x_set_max x_int_aire G_HU G_DHU 
227.000000 2.000000 7.000000 1.000000 3394.658094 0.005254 0.012760 0.000000 0.000000 0.000000
227.000000 3.000000 7.000000 1.000000 3337.723811 0.005165 0.012541 0.000000 0.000000 0.000000
227.000000 4.000000 7.000000 1.000000 3277.930460 0.005072 0.012312 0.000000 0.000000 -0.000000
227.000000 5.000000 7.000000 1.000000 3215.028840 0.004973 0.012071 0.000000 0.000000 -0.000000
227.000000 6.000000 7.000000 1.000000 3159.097822 0.004886 0.011857 0.000000 0.000000 0.000000
227.000000 7.000000 7.000000 1.000000 3105.864458 0.004803 0.011654 0.000000 0.000000 0.000000
227.000000 8.000000 7.000000 1.000000 3264.516988 0.005051 0.012261 0.012022 0.000000 0.000000
227.000000 9.000000 7.000000 1.000000 3466.769234 0.005366 0.013036 0.012461 0.000000 0.000000
227.000000 10.000000 7.000000 1.000000 3635.497805 0.005630 0.013685 0.012503 0.000000 0.000000
227.000000 11.000000 7.000000 1.000000 3627.858029 0.005618 0.013655 0.012841 0.000000 0.000000
227.000000 12.000000 7.000000 1.000000 3561.063908 0.005513 0.013399 0.012962 0.000000 0.000000
227.000000 13.000000 7.000000 1.000000 3501.375841 0.005420 0.013169 0.013169 0.000000 -403.519565
227.000000 14.000000 7.000000 1.000000 3449.982070 0.005340 0.012972 0.012972 0.000000 -216.819323
227.000000 15.000000 7.000000 1.000000 3403.455304 0.005267 0.012793 0.012793 0.000000 -12.671264
227.000000 16.000000 7.000000 1.000000 3360.112822 0.005200 0.012627 0.012627 0.000000 -2.983122
227.000000 17.000000 7.000000 1.000000 3327.756439 0.005149 0.012503 0.012503 0.000000 -252.899167
227.000000 18.000000 7.000000 1.000000 3306.035987 0.005115 0.012420 0.012254 0.000000 0.000000
227.000000 19.000000 7.000000 1.000000 3750.937830 0.005810 0.014129 0.000000 0.000000 0.000000
227.000000 20.000000 7.000000 1.000000 3761.487079 0.005827 0.014170 0.000000 0.000000 0.000000
227.000000 21.000000 7.000000 1.000000 3708.031839 0.005743 0.013964 0.000000 0.000000 0.000000
227.000000 22.000000 7.000000 1.000000 3648.252839 0.005650 0.013734 0.000000 0.000000 0.000000
227.000000 23.000000 7.000000 1.000000 3616.133059 0.005600 0.013610 0.000000 0.000000 0.000000
227.000000 24.000000 7.000000 1.000000 3571.521810 0.005530 0.013439 0.000000 0.000000 0.000000
227.000000 1.000000 1.000000 1.000000 3530.779751 0.005466 0.013282 0.000000 0.000000 -0.000000
227.000000 2.000000 1.000000 1.000000 3482.710048 0.005391 0.013098 0.000000 0.000000 -0.000000
227.000000 3.000000 1.000000 1.000000 3432.429003 0.005313 0.012905 0.000000 0.000000 -0.000000
227.000000 4.000000 1.000000 1.000000 3384.229669 0.005237 0.012720 0.000000 0.000000 -0.000000
227.000000 5.000000 1.000000 1.000000 3329.573055 0.005152 0.012510 0.000000 0.000000 -0.000000
227.000000 6.000000 1.000000 1.000000 3284.443654 0.005082 0.012337 0.000000 0.000000 -0.000000
227.000000 7.000000 1.000000 1.000000 3233.952780 0.005003 0.012144 0.000000 0.000000 -0.000000
227.000000 8.000000 1.000000 1.000000 3459.732293 0.005355 0.013009 0.013009 0.000000 -322.748547
227.000000 9.000000 1.000000 1.000000 3667.346055 0.005680 0.013807 0.013807 0.000000 -475.301208
227.000000 10.000000 1.000000 1.000000 3603.035305 0.005579 0.013560 0.013560 0.000000 -464.731396
227.000000 11.000000 1.000000 1.000000 3539.471334 0.005480 0.013316 0.013316 0.000000 -638.533482
227.000000 12.000000 1.000000 1.000000 3477.989254 0.005384 0.013079 0.013079 0.000000 -878.052508
227.000000 13.000000 1.000000 1.000000 3422.626038 0.005297 0.012867 0.012867 0.000000 -1229.805265
227.000000 14.000000 1.000000 1.000000 3374.594162 0.005222 0.012683 0.012683 0.000000 -1180.176929
227.000000 15.000000 1.000000 1.000000 3330.410647 0.005153 0.012513 0.012513 0.000000 -1088.984865
227.000000 16.000000 1.000000 1.000000 3294.539734 0.005097 0.012376 0.012376 0.000000 -1261.001741
227.000000 17.000000 1.000000 1.000000 3266.599929 0.005054 0.012269 0.012269 0.000000 -999.483550
227.000000 18.000000 1.000000 1.000000 3249.884523 0.005028 0.012205 0.012205 0.000000 -705.244871
227.000000 19.000000 1.000000 1.000000 3781.925944 0.005859 0.014249 0.000000 0.000000 0.000000
227.000000 20.000000 1.000000 1.000000 3806.016456 0.005896 0.014342 0.000000 0.000000 0.000000
227.000000 21.000000 1.000000 1.000000 3765.549386 0.005833 0.014186 0.000000 0.000000 0.000000
227.000000 22.000000 1.000000 1.000000 3705.723053 0.005740 0.013955 0.000000 0.000000 0.000000
227.000000 23.000000 1.000000 1.000000 3668.116413 0.005681 0.013810 0.000000 0.000000 0.000000
227.000000 24.000000 1.000000 1.000000 3609.901837 0.005590 0.013586 0.000000 0.000000 0.000000
227.000000 1.000000 2.000000 1.000000 3557.628693 0.005508 0.013385 0.000000 0.000000 -0.000000
227.000000 2.000000 2.000000 1.000000 3507.581108 0.005430 0.013193 0.000000 0.000000 -0.000000
227.000000 3.000000 2.000000 1.000000 3458.901165 0.005354 0.013006 0.000000 0.000000 -0.000000
227.000000 4.000000 2.000000 1.000000 3417.862593 0.005290 0.012849 0.000000 0.000000 -0.000000
227.000000 5.000000 2.000000 1.000000 3377.692683 0.005227 0.012695 0.000000 0.000000 -0.000000
227.000000 6.000000 2.000000 1.000000 3308.602573 0.005119 0.012430 0.000000 0.000000 0.000000
227.000000 7.000000 2.000000 1.000000 3237.537132 0.005009 0.012158 0.000000 0.000000 -0.000000
227.000000 8.000000 2.000000 1.000000 3438.819491 0.005323 0.012929 0.012739 0.000000 0.000000
227.000000 9.000000 2.000000 1.000000 3639.342229 0.005636 0.013700 0.013700 0.000000 -381.524909
227.000000 10.000000 2.000000 1.000000 3576.817775 0.005538 0.013459 0.013459 0.000000 -164.219890
227.000000 11.000000 2.000000 1.000000 3515.111769 0.005442 0.013222 0.013222 0.000000 -826.472190
227.000000 12.000000 2.000000 1.000000 3455.737089 0.005349 0.012994 0.012994 0.000000 -832.475321
227.000000 13.000000 2.000000 1.000000 3401.605941 0.005265 0.012786 0.012786 0.000000 -1372.009835
227.000000 14.000000 2.000000 1.000000 3360.862453 0.005201 0.012630 0.012630 0.000000 -909.545263
227.000000 15.000000 2.000000 1.000000 3326.693709 0.005148 0.012499 0.012499 0.000000 -208.635538
227.000000 16.000000 2.000000 1.000000 3297.422852 0.005102 0.012387 0.012387 0.000000 -200.381261
227.000000 17.000000 2.000000 1.000000 3275.603097 0.005068 0.012303 0.011736 0.000000 0.000000
227.000000 18.000000 2.000000 1.000000 3263.355684 0.005049 0.012256 0.010985 0.000000 0.000000
227.000000 19.000000 2.000000 1.000000 3699.368008 0.005730 0.013931 0.000000 0.000000 0.000000
227.000000 20.000000 2.000000 1.000000 3693.156054 0.005720 0.013907 0.000000 0.000000 0.000000
227.000000 21.000000 2.000000 1.000000 3620.566766 0.005606 0.013627 0.000000 0.000000 0.000000
227.000000 22.000000 2.000000 1.000000 3535.239706 0.005473 0.013299 0.000000 0.000000 0.000000
227.000000 23.000000 2.000000 1.000000 3461.783905 0.005358 0.013017 0.000000 0.000000 0.000000
227.000000 24.000000 2.000000 1.000000 3380.364292 0.005231 0.012705 0.000000 0.000000 0.000000
227.000000 1.000000 3.000000 1.000000 3305.208160 0.005114 0.012417 0.000000 0.000000 0.000000
227.000000 2.000000 3.000000 1.000000 3230.810502 0.004998 0.012132 0.000000 0.000000 0.000000
227.000000 3.000000 3.000000 1.000000 3212.083938 0.004969 0.012060 0.000000 0.000000 0.000000
227.000000 4.000000 3.000000 1.000000 3182.089627 0.004922 0.011945 0.000000 0.000000 0.000000
227.000000 5.000000 3.000000 1.000000 3165.469697 0.004896 0.011882 0.000000 0.000000 0.000000
227.000000 6.000000 3.000000 1.000000 3149.451350 0.004871 0.011820 0.000000 0.000000 0.000000
227.000000 7.000000 3.000000 1.000000 3140.131332 0.004857 0.011785 0.000000 0.000000 0.000000
